Headline,label
"Sosem volt Hunnia, Hun Birodalom sem létezett! Végig hazudtak nekünk egy nagy történelmi elhallgatás keretében!",1
 Itt bárki kérhet Koronavírus tesztet! Akár egy tünet észlelése után érdemes bemenni! ,1
" Döbbenetes áttörés a rákgyógyításban. 92,8% gyógyulási arány! ",1
" Fillérekből, egyszerűen termelhetsz otthon gombát. Mutatjuk hogyan! ",1
" Ezt kell tudni a kijárási tilalomról, ami szerdától lép érvénybe",1
 Így válik fizetőssé a YouTube! ,1
 7 éves kislányt szúrt nyakon a migráns! Minden előzmény nélkül ölte meg a kis Emilyt!,1
" A Horvátok 190 ezer Ft-os fizetést adnak, annak aki munkanélkülivé vált a vírus miatt! Oszd meg, ha Magyarországon is bevezetnéd! ",1
" Csenge gyilkosa bujkál, dühös apukák keresik csoportosan! A bírónőnek sincs kegyelem! ",1
" A férjemmel halászlevet szerettünk volna enni a Tisza-tavi Vízi Sétányon, de életünk legnagyobb csalódását éltük meg tegnap. Csak annyit szeretnénk, hogy minél többen tudjanak róla!",1
" Tegnap kora este az Ilka utcában sétáltunk haza a nyugdíjas feleségemmel, amikor egy orvosi maszkos férfi EZT a borzalmas dolgot tette! Könyörögve kérem, aki tud segítsen! Így nézett ki pontosan:",1
 Nyerj egy fantasztikus wellness hétvégét! Te melyiket választanád az 5 csodálatos helyszín közül? Részletes játékleírás:,1
" Tüsszentettem egyet a SPAR-ban és olyan brutális megaláztatás ért, hogy még mindig remegek! Csak annyit kérek tisztelettel, hogy aki teheti ossza meg!",1
Áram ára 2018,1
Egy igaz TÖRTÉNET,1
Így szabadulj meg a fejfájástól 30 másodperc alatt !,1
MÁRCIUS 1-TŐL KORLÁTOZZÁK A MOBIL HASZNÁLATOT! >>> EZÉRT TILTANAK LE!,1
Változik a közmunka 2018 Július 1-től! Minden közmunkást érintő változás jön >>>,1
Bérminimum 2019: erre nem számítottunk! 2019 Januártól 240 ezer ft lesz a bérminimum!,1
"Nyugdíj melletti munka szabályai, feltételei, adózása, járulékai 2019",1
CSALÁDOK FIGYELEM! HAMAROSAN ÖRÖMTELI VÁLTOZÁS JÖN A CSALÁDI PÓTLÉKNÁL! ÍGY SZÁMOLJ VELE!,1
Családi adókedvezmény 2018,1
Munka törvénykönyve 2019,1
ORBÁN VIKTOR MOST JELENTETTE BE: Hétfőtől ismét Komolyan VÁLTOZNAK a járványügyi intézkedések:,1
Fiataloknak szóló program indul saját vállalkozás indítására,1
Megújul az 1000 forintos ,1
"Változnak a banki utalások >>> Változik a családi pótlék, a nyugdíj és a fizetés utalása is >>>",1
TÁMOGATÁS KÖZMUNKÁSOKNAK >>> Havonta több mint 20 ezer forintot adnak a fizetés mellé!,1
Visszatér a tél,1
"HETI KÖZEL 8 EZER FORINT, HAVI 32 EZER FORINT JÁR NEKED IS HA NEM OTT LAKSZ, AHOL DOLGOZOL!",1
HA 90 EZER FORINT ALATT VAN A NYUGDÍJA EZT A PLUSZ PÉNZT MINDENKÉPPEN KÉRJE >>>,1
VÁLTOZIK A LAKOSSÁGI ÁRAM ÁRA JANUÁRBAN,1
Visszahoznák a 13. havi nyugdíjat >>> Sok pénzt kapnának a nyugdíjasok!,1
"Újabb sikert ért el a roma rákkutató, Dr Horváth József!",1
Elkezdték kézbesíteni az Erzsébet-utalványokat a nyugdíjasoknak,1
Így lesz öregségi nyugdíj a rokkant ellátásból! Nagyon fontos információ!,1
"Otthon Melege Program: 1,5 milliárdos pályázat kazán és konvektor cserére >>>",1
Autósok figyelem! Két napig ingyen parkolhat a belvárosban,1
"Pályázat ingyenes laptopra, tabletre, Hajdúszoboszlói családi nyaralásra-ITT A LETÖLTHETŐ PÁLYÁZATI ADATLAP >>>>",1
PÓTLÉKOK 2018 >>> ÍGY KAPHATSZ PLUSZ 100 EZER FORINTOT A FIZETÉSEDEN FELÜL PÓTLÉKKÉNT!,1
Mi mennyi 2018/2019,1
"Minden hatodik szülő dolgozik a gyes, illetve a gyed mellett!",1
Bevezették az ALAPJÖVEDELMET MAGYARORSZÁGON! Minden hónapban 26 ezer forintos ajándékpénz az önkormányzattól!,1
Első házasok adókedvezménye,1
Új szabályozás: minden bankkártya-tulajdonost érint >,1
Családi pótlék összege 2019,1
"A héten olyan hőség lesz, amiben már dolgozni sem lehet >>> Szünetet kell tartani munkavégzés közben!!!",1
Visszahoznák a 13. havi nyugdíjat >>> Sok pénzt kapnának a nyugdíjasok!,1
Nyugdíjkorhatár táblázat nők és férfiak esetén 2018,1
SZÜLŐK FIGYELEM! VILLÁMGYORS LEFOLYÁSÚ ÉLETET VESZÉLYEZTETŐ BETEGSÉG FERTŐZ ISMÉT>> HA EZEKET A TÜNETEKET TAPASZTALJA A GYERMEKÉN AZONNAL HÍVJON MENTŐT! MINDENKÉPPEN TÁJÉKOZÓDJON HA VAN GYERMEKE!,1
Nyílászáró pályázat 2018 magánszemélyeknek (Ablakcsere),1
HAVI 83 ezer forintos támogatást kaphat szinte bárki ezzel az újdonsággal! Egyedülállók is megkaphatják >>>,1
Elfogadták!!! Milliós támogatást adnak felújításra!!! Idén nyáron már igényelhető a pénz!!!,1
Július 1-től indul a nyári diákmunka-program!,1
